tweet_text;user_id;user_display_name;user_screen_name;follower_count;following_count;account_creation_date;tweet_time;in_reply_to_userid;like_count;retweet_count;Num_Syllables;id;Avg_Syllables;Avg_Words_in_Sentences;Flesh-Kincaid;Num_Big_words;Num_Long_Sentences;Num_Sentences;Num_Short_Sentences;Num_Urls;Num_words;Rate_Adv_adj;class
Hong Kong Disneyland Resort aims to attract more visitors in 2020 with new gourmet series https://t.co/zgorOKfXJW https://t.co/kj08Dcvy0n;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/17/19 9:22 AM;;38.0;14.0;29.0;11.0;1,7058823529;15;11,1694117647;6.0;.0;1.0;.0;2.0;17.0;0,1176470588;real
Macao's young startups are embracing opportunities offered by the Guangdong-Hong Kong-Macao Greater Bay Area https://t.co/0d9udbf0s9;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/17/19 9:12 AM;;109.0;25.0;40.0;12.0;2,6666666667;14;21,7266666667;8.0;.0;1.0;.0;1.0;15.0;0,1333333333;real
Premier Li Keqiang meets with Chief Executive of Hong Kong Special Administrative Region Carrie Lam??Ý https://t.co/WVDmmEK2wD;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/17/19 2:13 AM;;22.0;4.0;37.0;13.0;2,3125;15;17,9375;7.0;.0;1.0;.0;1.0;16.0;0;real
Hong Kong Disneyland tries to attract more visitors with new gourmet series as Hong Kong's tourism sector has been??Ý https://t.co/LMGPlTGQvZ;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/16/19 5:27 PM;;21.0;7.0;42.0;14.0;2,1;19;16,99;8.0;.0;1.0;.0;1.0;20.0;0,15;real
President Xi Jinping on Monday met with Chief Executive of Hong Kong Special Administrative Region Carrie Lam, who??Ý https://t.co/ZsHj1jRtuU;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/16/19 4:41 PM;;108.0;34.0;41.0;15.0;2,1578947368;18;17,2831578947;8.0;.0;1.0;.0;1.0;19.0;0;real
Hong Kong police arrested 31 rioters, including 17 students over the weekend. Police warn against exploiting or inc??Ý https://t.co/2kD3Z1aIBK;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/16/19 3:38 PM;;35.0;4.0;42.0;16.0;2,2105263158;9;14,1992105263;9.0;.0;2.0;1.0;1.0;19.0;0;real
Hong Kong police arrest three people suspected of testing explosives at an out-of-the-way place in Tuen Mun??Ý https://t.co/a1d0sK0Ahq;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/14/19 12:26 PM;;37.0;6.0;36.0;17.0;2;17;15,03;7.0;.0;1.0;.0;1.0;18.0;0,1111111111;real
Hong Kong citizens pay tribute to victims of Nanjing Massacre, on a national day of remembrance for the hundreds of??Ý https://t.co/r0qTAue0oj;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/14/19 9:25 AM;;185.0;52.0;41.0;18.0;1,9523809524;20;15,6380952381;8.0;.0;1.0;.0;1.0;21.0;0,0476190476;real
Recurrent cash policies of China's HKSAR government effectively lift 382,200 persons out of poverty: Hong Kong Pove??Ý https://t.co/5JcMYlTDjd;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/14/19 1:59 AM;;17.0;9.0;46.0;19.0;2,5555555556;17;21,5855555556;8.0;.0;1.0;.0;1.0;18.0;0,1111111111;real
Macao's young startups are embracing the Guangdong-Hong Kong-Macao Greater Bay Area (GBA) opportunities. 'The GBA g??Ý https://t.co/NeN1PHzQYR;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/13/19 3:02 AM;;27.0;6.0;53.0;20.0;3,1176470588;8;24,5132352941;7.0;.0;2.0;1.0;1.0;17.0;0,1176470588;real
Hong Kong will once again top global IPO markets this year, cementing its position as leading fund-raising hub, say??Ý https://t.co/kr9qY32RsI;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/12/19 9:34 AM;;37.0;4.0;37.0;21.0;1,85;19;14,04;6.0;.0;1.0;.0;1.0;20.0;0,3;real
#HongKong retail sector expects 'no big rebound' despite Christmas selling season, says Annie Yau Tse, chairwoman o??Ý https://t.co/7YYo6UzLaU;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/12/19 8:56 AM;;26.0;7.0;44.0;22.0;2,4444444444;17;20,2744444444;10.0;.0;1.0;.0;1.0;18.0;0,1111111111;real
Hong Kong Ocean Park net deficit widens to around 71 mln USD https://t.co/gDnX0ZglxB https://t.co/L8IyPaH98v;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/12/19 2:33 AM;;24.0;6.0;27.0;23.0;1,9285714286;12;12,6271428571;3.0;.0;1.0;.0;2.0;14.0;0,0714285714;real
Hong Kong's education bureau mulls punishing 30 teachers for professional misconduct related to social unrest, sayi??Ý https://t.co/8bo18MAIfR;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/11/19 5:40 AM;;34.0;8.0;43.0;24.0;2,5294117647;16;20,8870588235;10.0;.0;1.0;.0;1.0;17.0;0,1176470588;real
Hong Kong police says discovery of two home-made bombs not a single case, warning criminals may have stored more fi??Ý https://t.co/HnjCenhTrc;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/10/19 3:03 PM;;52.0;16.0;37.0;25.0;1,7619047619;20;13,3904761905;7.0;.0;1.0;.0;1.0;21.0;0,2380952381;real
Hong Kong police successfully defuse 2 home-made remote-controlled bombs inside a school which were fully functiona??Ý https://t.co/5hXD6qn5IU;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/9/19 4:43 PM;;30.0;14.0;37.0;26.0;2,1764705882;16;16,7223529412;8.0;.0;1.0;.0;1.0;17.0;0,2941176471;real
Hong Kong's retail sector bears major brunt of social unrest as 97 percent of retailers have suffered losses from J??Ý https://t.co/ji9V9seBrG;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/9/19 2:27 PM;;13.0;5.0;41.0;27.0;1,9523809524;20;15,6380952381;9.0;.0;1.0;.0;1.0;21.0;0,1428571429;real
Hong Kong's major service industries report drops in business receipts in the third quarter of the year amid an eco??Ý https://t.co/POJwV5aqBE;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/9/19 2:23 PM;;12.0;7.0;38.0;28.0;1,8095238095;20;13,9523809524;7.0;.0;1.0;.0;1.0;21.0;0,0952380952;real
A Pakistani senior official explains why violent protests in Hong Kong are not democratic https://t.co/uj8tMBShVV;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/9/19 2:14 PM;;318.0;104.0;32.0;29.0;2,1333333333;14;15,4333333333;7.0;.0;1.0;.0;1.0;15.0;0,2666666667;real
Hong Kong police warned on Monday that teachers should prevent students from taking part in violent and destructive??Ý https://t.co/1F7fdkvy2s;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/9/19 12:15 PM;;23.0;3.0;33.0;30.0;1,7368421053;18;12,3147368421;10.0;.0;1.0;.0;1.0;19.0;0;real
The so-called Hong Kong act signed by U.S. interferes in China's internal affairs, breaches int'l law, and negative??Ý https://t.co/ovEdxH8ndS;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/9/19 10:30 AM;;25.0;9.0;45.0;31.0;2,3684210526;6,3333333333;14,8273684211;8.0;.0;3.0;2.0;1.0;19.0;0,1578947368;real
LIVE: Hong Kong police hold press briefing https://t.co/hRf3XJAZ1h;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/9/19 8:01 AM;;103.0;28.0;13.0;32.0;1625;7;6705;2.0;.0;1.0;1.0;1.0;8.0;0;real
Hong Kong police seize a semi-automatic pistol, 105 bullets and other prohibited weapons, the first time that a han??Ý https://t.co/GqqrPfh7lK;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/9/19 3:15 AM;;23.0;13.0;44.0;33.0;2,2;19;18,17;6.0;.0;1.0;.0;1.0;20.0;0,2;real
Rioters set fire outside courts, vandalize shops in Hong Kong https://t.co/RdAPnsA2fi https://t.co/6AB8oZQwGi;487118986.0;China Xinhua News;XHNews;12616689.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/8/19 2:35 PM;;22.0;11.0;19.0;34.0;1,5833333333;10;7,7733333333;4.0;.0;1.0;.0;2.0;12.0;0,0833333333;real
Hong Kong police commissioner watches flag-raising ceremony in Beijing https://t.co/KTEdOnjhIF https://t.co/ESPJg7vx9r;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/7/19 2:29 PM;;51.0;12.0;25.0;35.0;2,2727272727;9;15,5181818182;6.0;.0;1.0;.0;2.0;11.0;0,0909090909;real
Hong Kong police commissioner led a delegation of the Hong Kong Police Force to watch the flag-raising ceremony in??Ý https://t.co/hDH1JMS4Il;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/7/19 1:35 PM;;133.0;37.0;44.0;36.0;2,2;19;18,17;6.0;.0;1.0;.0;1.0;20.0;0,05;real
Kazakh communists outraged by U.S. act on Hong Kong: Kazakh Communist People's Party leader https://t.co/PbmMKfWE4y;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/7/19 9:02 AM;;44.0;22.0;38.0;37.0;2,5333333333;5;16,2533333333;7.0;.0;3.0;2.0;1.0;15.0;0;real
Hong Kong Special Administrative Region gov't expresses deep regret over the spreading of untrue claims overseas by??Ý https://t.co/mo93q3VnZl;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/6/19 2:59 PM;;13.0;5.0;42.0;38.0;2,3333333333;17;18,9633333333;9.0;.0;1.0;.0;1.0;18.0;0,1666666667;real
Hong Kong police seize 59 bottles of chemicals with a total volume of 137 liters in Shing Mun Reservoir country par??Ý https://t.co/PFt5inysq3;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/6/19 11:12 AM;;29.0;4.0;47.0;39.0;2,1363636364;21;18,1990909091;7.0;.0;1.0;.0;1.0;22.0;0,0454545455;real
Prolonged social unrest results in over 2 pct points of #HongKong's 2.9-pct GDP slip year on year in Q3, says finan??Ý https://t.co/JQZEfS935a;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/6/19 10:58 AM;;18.0;3.0;52.0;40.0;2,3636363636;11;16,5909090909;8.0;.0;2.0;.0;1.0;22.0;0,1818181818;real
LIVE: Hong Kong police hold press briefing https://t.co/zA3YqZeks7;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/6/19 8:01 AM;;196.0;60.0;13.0;41.0;1625;7;6705;2.0;.0;1.0;1.0;1.0;8.0;0;real
Man's death due to road accident at a junction where traffic lights were damaged has aroused concerns in Hong Kong??Ý https://t.co/rt8s5fwaMY;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/6/19 5:58 AM;;35.0;9.0;36.0;42.0;1,7142857143;20;12,8285714286;7.0;.0;1.0;.0;1.0;21.0;0,0476190476;real
HKSAR government announces more relief measures worth more than 4 billion Hong Kong dollars (about 510 million U.S.??Ý https://t.co/gdbA3Of1RP;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/4/19 2:52 PM;;15.0;4.0;49.0;43.0;2,5789473684;6,6666666667;17,3115789474;8.0;.0;3.0;2.0;1.0;19.0;0,2105263158;real
Hong Kong must enhance education, implementation mechanism for national Constitution and the Basic Law, to strength??Ý https://t.co/yDJU1dRcTe;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/4/19 12:13 PM;;24.0;9.0;39.0;44.0;2,2941176471;16;18,1105882353;7.0;.0;1.0;.0;1.0;17.0;0,0588235294;real
Hong Kong people rally to protest against the U.S. administration's signing of the so-called Hong Kong Human Rights??Ý https://t.co/65vBm9Mgpl;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/4/19 8:44 AM;;192.0;71.0;47.0;45.0;2,4736842105;6,3333333333;16,0694736842;7.0;.0;3.0;1.0;1.0;19.0;0,1052631579;real
HKSAR government has allocated 20 billion Hong Kong dollars (2.55 billion U.S. dollars) in total since August to re??Ý https://t.co/bRcZrf7mpj;487118986.0;China Xinhua News;XHNews;12616689.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/3/19 3:11 PM;;54.0;10.0;53.0;46.0;2,65;5,25;17,63;7.0;.0;4.0;3.0;1.0;20.0;0,1;real
Hong Kong people rally to condemn U.S. hegemony invading Hong Kong and interfering in China's internal affairs??Ý https://t.co/opRZNOvvyK;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/3/19 11:55 AM;;88.0;31.0;49.0;47.0;2,7222222222;6;18,8722222222;8.0;.0;3.0;2.0;1.0;18.0;0,1111111111;real
Hong Kong-related act recently passed by U.S. Congress and signed into law by U.S. president is 'completely unneces??Ý https://t.co/n2KneesaPz;487118986.0;China Xinhua News;XHNews;12616689.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/3/19 8:27 AM;;25.0;4.0;48.0;48.0;2,5263157895;4;15,7025263158;8.0;.0;5.0;5.0;1.0;19.0;0,1578947368;real
Hong Kong police have warned against the repeated occurrence of so-called 'lynching' by rioters against other peopl??Ý https://t.co/7JuRWNZRmN;487118986.0;China Xinhua News;XHNews;12616689.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/3/19 7:38 AM;;55.0;15.0;38.0;49.0;2,1111111111;17;16,3411111111;10.0;.0;1.0;.0;1.0;18.0;0,1666666667;real
Hong Kong police warns against the repeated occurrence of so-called 'lynching' by #HKRioters against other people,??Ý https://t.co/kANsqnz23p;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/2/19 1:45 PM;;41.0;13.0;42.0;50.0;2,4705882353;16;20,1929411765;9.0;.0;1.0;.0;1.0;17.0;0,1764705882;real
Update: China suspends Hong Kong visits by U.S. military ships, aircraft, sanctions U.S. NGOs??Ý https://t.co/Yr9rtewe0h;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/2/19 1:27 PM;;68.0;23.0;39.0;51.0;2,6;3,2;16,26;7.0;.0;5.0;5.0;1.0;15.0;0,0666666667;real
Some foreign NGOs play a sinister role in Hong Kong unrest https://t.co/9K3IHQs2fV;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/2/19 12:37 PM;;30.0;10.0;23.0;52.0;1,9166666667;11;11,7066666667;3.0;.0;1.0;.0;1.0;12.0;0,25;real
My two kids could have lost their father, said May, wife of Hong Kong police officer Alex, almost 2 months after??Ý https://t.co/6EM9W3Goa4;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/2/19 11:53 AM;;47.0;19.0;39.0;53.0;1,7727272727;21;13,9081818182;6.0;.0;1.0;.0;1.0;22.0;0,0454545455;real
Hong Kong likely to register first budget deficit in 15 years as its economy has slipped into a technical recession??Ý https://t.co/qgd95lbUZT;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/2/19 11:47 AM;;41.0;15.0;42.0;54.0;2;20;16,2;8.0;.0;1.0;.0;1.0;21.0;0,1428571429;real
Chinese government has decided to suspend Hong Kong visits by U.S. military ships and aircraft and take sanctions a??Ý https://t.co/NZYsjr5DQL;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/2/19 9:23 AM;;84.0;45.0;43.0;55.0;2,15;6,6666666667;12,38;8.0;.0;3.0;2.0;1.0;20.0;0,1;real
I feel guilty for my family, says the Hong Kong police officer who was slashed in neck by a rioter in October. He??Ý https://t.co/KRdlFPvwW5;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/2/19 9:20 AM;;126.0;43.0;46.0;56.0;1,9166666667;11,5;11,7066666667;7.0;.0;2.0;1.0;1.0;24.0;0,0416666667;real
LIVE: Hong Kong police hold press briefing https://t.co/fVUKykvNyH;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/2/19 8:01 AM;;158.0;56.0;13.0;57.0;1625;7;6705;2.0;.0;1.0;1.0;1.0;8.0;0;real
A man was violently attacked when trying to remove roadblocks in Hong Kong, in yet another 'lynching' by rioters ag??Ý https://t.co/G6KQe2d5ko;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/1/19 11:13 AM;;26.0;10.0;42.0;58.0;2;20;16,2;8.0;.0;1.0;.0;1.0;21.0;0,0952380952;real
Hong Kong Museum of Art reopens after three years close with 11 exhibitions, including the 100th anniversary of the??Ý https://t.co/ENzWADSM34;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/1/19 8:34 AM;;37.0;11.0;43.0;59.0;2,15;19;17,58;5.0;.0;1.0;.0;1.0;20.0;0,1;real
In the name of freedom and democracy, the newly signed so-called Hong Kong Human Rights and Democracy Act of 2019??Ý https://t.co/KKIyBGDWPz;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/1/19 6:33 AM;;68.0;21.0;39.0;60.0;1,8571428571;20;14,5142857143;6.0;.0;1.0;.0;1.0;21.0;0,0952380952;real
Financial Secretary of HKSAR gov't Paul Chan expects more tech firms to go public in #HongKong, encouraged by  succ??Ý https://t.co/Cz3byeTPEZ;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/1/19 5:41 AM;;23.0;2.0;49.0;61.0;2,45;19;21,12;6.0;.0;1.0;.0;1.0;20.0;0,15;real
Amid unrest in China's Hong Kong, Chief Secretary for Administration of Hong Kong Special Administrative Region Mat??Ý https://t.co/6G4TgTvjE8;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/1/19 5:24 AM;;23.0;4.0;46.0;62.0;2,5555555556;17;21,5855555556;7.0;.0;1.0;.0;1.0;18.0;0,0555555556;real
The Hong Kong Polytechnic University campus was severely damaged during the occupation of rioters and it may take h??Ý https://t.co/si9ePZV04s;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;11/30/19 9:28 AM;;77.0;43.0;42.0;63.0;2,1;19;16,99;8.0;.0;1.0;.0;1.0;20.0;0,05;real
The number of visitors to Hong Kong dropped 43.7% year on year in October, according to the Hong Kong Tourism Board https://t.co/iuNcUCrADk;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;11/30/19 7:30 AM;;82.0;36.0;43.0;64.0;1,9545454545;11;11,7636363636;6.0;.0;2.0;.0;1.0;22.0;0;real
Pull back your meddlesome hands! #HongKong is China's Hong Kong, not a U.S. state. Hong Kong's future is and will a??Ý https://t.co/7fikZAkG2b;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;11/30/19 1:48 AM;;137.0;57.0;56.0;65.0;2,5454545455;4,4;16,1623636364;7.0;.0;5.0;3.0;1.0;22.0;0,0909090909;real
After inspecting the campus that had been occupied by rioters for about two weeks, President of Hong Kong Polytechn??Ý https://t.co/tU17JHL1aC;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;11/29/19 1:56 PM;;22.0;5.0;36.0;66.0;1,8;19;13,45;7.0;.0;1.0;.0;1.0;20.0;0,05;real
The number of visitors to #HongKong dropped 43.7 percent year on year to 3.31 million in October amid continued vio??Ý https://t.co/IEtk9YnOm3;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;11/29/19 11:45 AM;;63.0;11.0;47.0;67.0;2,2380952381;7,3333333333;13,5495238095;8.0;.0;3.0;3.0;1.0;21.0;0,0952380952;real
The U.S. Congress' passage of the so-called Hong Kong Human Rights and Democracy Act is typical 'long-arm jurisdict??Ý https://t.co/Hl3HSB3hMG;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;11/29/19 10:30 AM;;47.0;14.0;42.0;68.0;2,2105263158;6,3333333333;12,9642105263;8.0;.0;3.0;2.0;1.0;19.0;0,1578947368;real
The Hong Kong police said on Thursday night that they have seized 3,801 petrol bombs and many other dangerous items??Ý https://t.co/XPFSfmuWHL;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;11/29/19 9:53 AM;;91.0;32.0;39.0;69.0;1,8571428571;20;14,5142857143;6.0;.0;1.0;.0;1.0;21.0;0,1428571429;real
LIVE: Hong Kong police hold press briefing https://t.co/OpDD5bJfKg;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;11/29/19 8:01 AM;;183.0;51.0;13.0;70.0;1625;7;6705;2.0;.0;1.0;1.0;1.0;8.0;0;real
Hong Kong police's safety team deployed into Hong Kong Polytechnic University #PolyU has almost completed operation??Ý https://t.co/uXhzjP1WWe;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;11/29/19 4:14 AM;;36.0;13.0;48.0;71.0;2,8235294118;16;24,3576470588;9.0;.0;1.0;.0;1.0;17.0;0,0588235294;real
Overseas experts criticize U.S. signing of Hong Kong-related act into law:--The act is a testament to the hypocris??Ý https://t.co/FFH30gbjs1;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;11/29/19 2:30 AM;;29.0;8.0;50.0;72.0;2,6315789474;6,3333333333;17,9326315789;8.0;.0;3.0;2.0;1.0;19.0;0,0526315789;real
Roadblock clearing by PLA garrison in Hong Kong a public interest activity: spokesperson https://t.co/sUT5QwIFGw https://t.co/Af9eUeTezW;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;11/29/19 1:21 AM;;33.0;7.0;33.0;73.0;2,2;13;16,22;7.0;.0;1.0;.0;2.0;15.0;0,0666666667;real
